,timestampe,tweet_id,tweet_text
0,2020-10-06 14:47:17,1313491020747886592,".@MD_Labor has awarded over $2.8 million through a @USDOL grant to create and expand apprenticeship opportunities in Maryland. This investment will help connect businesses with a steady pipeline of talent &amp; create rewarding career opportunities.

Details: https://t.co/cZKfDCS1F6"
1,2020-10-06 14:13:19,1313482472030703619,"To date, Maryland has completed more than 2.75 million tests. Plan yours today at https://t.co/Js0RaUfNFr."
2,2020-10-06 14:13:18,1313482470248112130,Maryland’s daily positivity rate has dropped to 2.70% and the seven-day average positivity rate has dropped to 2.95%. We continue to have zero counties in the “red zone” designated by the federal government. https://t.co/go2waLcBt9
3,2020-10-06 12:13:37,1313452347423686656,"October is #NationalCybersecurityAwarenessMonth. As the proud home to the nation’s premier cyber institutions and an unparalleled pool of tech talent, Maryland truly is the cyber capital of America.

Learn how you can #BeCyberSmart at https://t.co/vt1US5B04g. https://t.co/Q4m5BTcufi"
4,2020-10-05 21:00:02,1313222438734323712,#COVID19 testing continues to be one of our most critical tools to find and fight this virus. We encourage all Marylanders to get tested by visiting https://t.co/Js0RaUxowZ and utilizing the interactive testing site map. https://t.co/yGff8nXydI
5,2020-10-05 18:40:26,1313187307231473664,"RT @BoydKRutherford: So pleased that our wonderful @MDStateParks have experienced a record-breaking year this year, with more than 17M visi…"
6,2020-10-05 18:25:07,1313183453395918848,RT @MDCensus2020: Worcester County becomes the 18th county to surpass their 2010 Census Self-Response Rate! Let's keep going in these final…
7,2020-10-05 17:50:25,1313174718892052481,"On #WorldTeachersDay, we are reminded of our incredible gratitude for Maryland’s educators, who have risen to the challenges of this school year with creativity and determination. Thank you for your continued dedication to keeping our students safe and learning. https://t.co/ulMiXFOM11"
8,2020-10-05 15:16:27,1313135971160866816,".@MDStateParks are reporting a record-breaking 17.1 million visitors to date in 2020. As outdoor activities continue to be safer than indoor activities, we are pleased to see that so many Marylanders are spending time at our state parks.

Details: https://t.co/VouwPELSeS"
9,2020-10-05 14:11:56,1313119735039496195,"RT @MDHealthDept: Today, @MDHealthDept reports 127,791 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 3.02…"
10,2020-10-04 16:03:21,1312785385852940289,"RT @MDHealthDept: Today, @MDHealthDept reports 127,290 confirmed cases of #COVID19 in Maryland. 

The statewide positivity rate is now 3.01…"
11,2020-10-04 15:09:35,1312771857041555459,Looking forward to today’s Battle of the Beltways! https://t.co/TaJGMrEISB
12,2020-10-04 01:05:00,1312559309708984320,"Tonight, Government House is taking part in Light the Night for Fallen Firefighters. The ultimate sacrifice of these fallen heroes is a debt which can never truly be repaid, but our state will forever be grateful. #NFFFLightTheNight2020 https://t.co/EWyJBZKdGv"
13,2020-10-04 00:15:00,1312546728948633600,"On behalf of the State of Maryland, congratulations to Swiss Skydiver and her team on winning the 145th running of the @PreaknessStakes! https://t.co/uFkvKtIoYm"
14,2020-10-03 23:50:54,1312540663855165441,"Pleased to present the Woodlawn Vase to the team of Swiss Skydiver, the winner of the 145th @PreaknessStakes at @PimlicoRC! Though Preakness looked a bit different this year, we couldn’t be more proud to host the last leg of the Triple Crown for the very first time. https://t.co/ogu6ByEQRM"
15,2020-10-03 16:18:00,1312426686097559552,"Just heard that my friend @GovChristie tested positive. My prayers are with him, the three members of the U.S. Senate, the President, First Lady and their staff, and all those diagnosed with #COVID19."
16,2020-10-03 15:36:56,1312416352246824960,Getting a haircut with Faraj at Capistrano’s Barber Shop on Maryland Avenue. It’s a beautiful day in Annapolis! https://t.co/szqwsLYy0t
