,timestampe,tweet_id,tweet_text
0,2016-02-16 13:32:01,699587033816309760,Need to contact the campaign... here's how: https://t.co/vXYN7Enp7Z
1,2016-02-11 20:07:33,697874633710833664,Please continue to keep Harford County Sheriff's Deputies and the families of the deputies in your prayers. Support our law enforcement.
2,2016-02-10 00:31:11,697216206135279617,Looking to share your support of Andy for re-election in 2016? Sign up for yard signs &amp; bumper stickers today. https://t.co/cKE1naJvEk
3,2016-02-09 14:35:30,697066296937181184,Andy's Birthday party and fundraiser is in one week on February 16th. For more details: https://t.co/DJWZ6RPKqD
4,2016-02-09 00:35:17,696854849896497152,"5 things you need know about the vision for Salisbury
 https://t.co/2fJFTw3F3R"
5,2016-02-08 19:31:46,696778467413770240,Need to contact the campaign... here's how: https://t.co/vXYN7Enp7Z
6,2016-02-08 13:50:45,696692645729533952,Get involved in the 2016 election. Sign up today to volunteer: https://t.co/978Sz52m4P
7,2016-02-07 20:35:18,696432064900497409,With the Ravens and the Redskins not in the Super Bowl - who are you rooting for or are you watching something else?
8,2016-02-06 22:30:40,696098713215827969,Andy's Birthday party and fundraiser is February 16th. For more details: https://t.co/DJWZ6RPKqD
9,2016-02-06 19:35:14,696054563980374016,This is a great history lesson and it's cool to see them reenacting it. https://t.co/ZeF5OWS0vu
10,2016-02-06 14:30:50,695977957068840960,Looking to share your support of Andy for re-election in 2016? Sign up for yard signs &amp; bumper stickers today. https://t.co/cKE1naJvEk
11,2016-02-05 23:54:23,695757393716596737,Get involved in the 2016 election. Sign up today to volunteer: https://t.co/978Sz4KKGf
12,2013-02-25 20:39:51,306141480693682176,So glad justice was swift 4 PH High students and families- Perry Hall High shooter Gladden gets 35 years in prison http://t.co/Wy3Upn3njg
13,2012-11-21 17:58:24,271311616610562048,Secret Emails from EPA Admin Lisa Jackson - Tune into Megyn Kelly - Fox News at 1:15 - for my interview on this impt issue
14,2012-11-12 21:27:24,268102722497159169,We Did It - Thank You! - http://t.co/yx1DhMug
15,2012-11-12 03:27:57,267831069892562944,We Did It - Thank You! - http://t.co/cI1T61uV
16,2012-11-06 00:58:51,265619218618281985,Please join us Election Night - http://t.co/onAKnWj2
17,2012-11-05 14:12:29,265456555967774720,Harris set to be Face of Md. GOP http://t.co/PMES9tbf via @MyDelmarvaNow
18,2012-11-05 12:11:47,265426181095043072,No Regrets! - http://t.co/qxH3SSyb
19,2012-09-24 11:41:29,250198264140402688,Super Saturday + other news - http://t.co/ISUlSnCY
20,2012-09-21 10:37:08,249094905710919680,Looking for leadership - not partisan attacks - great article by Panuzio http://t.co/dgW2OFKD via @stardem_news
21,2012-09-19 11:22:42,248381597378826240,Harris honored by business group http://t.co/JMie5231 via @stardem_news
22,2012-09-17 21:58:52,247816919506362371,"Come meet NRA President, David Keene, Saturday! - http://t.co/7RHjbCtG"
23,2012-09-10 21:16:00,245269415938101248,"From Kathy Szeliga, Camp Mgr, re: today's events:
http://t.co/zCoolj2k #mdpolitics #MD1"
24,2012-09-07 16:59:46,244117768125960192,2 months and counting until the election. Ready? #mdpolitics http://t.co/pCK75L7U
25,2012-09-06 18:07:25,243772397981941760,NE Balt Co GOP club kicked off last night - over 130 peps there - excitement for Nov 6 - Romney winning in NE Balt Co! http://t.co/mbMS0dpH
26,2012-08-27 16:05:05,240117740260712451,Student shot @ PH High this AM - students @ PH Shopping Center - parents can pu there - unbelievable - will update as avail - horrible
27,2012-08-23 17:24:14,238688107283771393,Pick 4 - check the ballot http://t.co/34AN7Vhj
28,2012-08-06 14:53:48,232489659031248896,Check out the new look to my website - http://t.co/S3JQ9OZJ
29,2012-07-31 02:33:30,230129028332404736,Had a great day in Cecil Co Friday  http://t.co/evYQpZGO via @cecil_whig
30,2012-07-23 17:43:54,227459035518078976,MD job losses in June - 4th month in a row of job declines in MD  http://t.co/x8zlM0Yw
31,2012-07-23 14:01:33,227403078746386432,"Glad I could help an OC resident reclaim his citizenship
 http://t.co/1L0yVNTm via @MyDelmarvaNow"
32,2012-06-25 01:44:16,217070673930108929,Harris: Biggest issue remains national debt http://t.co/y56xgcz4 via @MyDelmarvaNow
33,2012-06-20 14:28:38,215451093616959490,Sign the petition!  http://t.co/Exew2G4D
34,2012-06-17 14:37:13,214366092724936704,Thinking of my own dad today - Happy Father's Day - will b w/my family today- hope u r 2 http://t.co/LqxmG8oF
35,2012-06-15 13:41:42,213627344366211074,Harris holds town hall meeting in Easton  http://t.co/yjr8ChIc via @stardem_news
36,2012-06-14 14:00:16,213269626820378624,Well said by Ronald Reagan about Flag Day - check it out!  http://t.co/TzydRXjK
37,2012-06-14 13:36:30,213263647433175040,Thursday 5:30 PM - next Town Hall in Queenstown -   http://t.co/Ty43lWZM via @stardem_news
38,2012-06-12 13:09:17,212532022663585795,WOW!  This guy needs a hobby - Bill Press ‘ashamed’ of the National Anthem http://t.co/6Muvnkvl
39,2012-06-12 03:30:18,212386316699176960,Sailabration comes to Bmore!!  http://t.co/0tOX9vsq
40,2012-06-07 03:29:23,210574146017562626,Scott Walker!!!  Gives me great hope for our future
41,2012-06-03 14:53:11,209296680863014912,Be sure to save the date!  A great time will be had by all!  http://t.co/d1Dxf9dX
42,2012-05-22 15:54:39,204963492632084480,FYI - 2 Town Halls Wed - Perry Hall and Bel Air -  http://t.co/65niI6CG
43,2012-05-09 20:17:05,200318493210574848,Update for U  http://t.co/VOQJbiTQ
