,timestampe,tweet_id,tweet_text
0,2020-10-06 17:18:02,1313528959750082562,"Meet the Woman the Political Duopoly Fears Most w/@mkibbe.

https://t.co/jtW1qd8Oxg 

#election #Debates2020 #DebateMayhem"
1,2020-10-06 17:15:06,1313528220965273600,https://t.co/8XP6o8vAo2
2,2020-10-06 17:14:04,1313527960637517825,@OleRusty1 @HardFactorNews https://t.co/DgHA1dIiO0
3,2020-10-06 16:48:35,1313521547206893569,@vasman132 @united @debates The stipulation was that they had to keep them on the payroll for a certain amount of time. Time was up on Oct 1. 😠
4,2020-10-06 16:40:02,1313519396883771399,".@United Airlines received $5 BILLION under the CARES Act, just laid off 32,000 employees, and still had the money to sponsor the @debates. 

#election #debate2020 #VoteLibertarian https://t.co/ePeCzO2J8b"
5,2020-10-06 12:54:52,1313462730129539073,@isiahmeadows1 @docteb19 @BatJorgensen https://t.co/CmkHTNKMFU
6,2020-10-06 02:36:00,1313306988332421122,"Both @realDonaldTrump and @JoeBiden are more identical than the media would like to admit:

Endless wars
No criminal justice reform
Shredding the Constitution
Spying on Americans
Increased spending
Lobbyists and cronyism 

All that and more until we break the 2 party system."
7,2020-10-06 02:31:12,1313305777310961675,@Jocelyn_JJF @LPIowa @PolkLibertarian @RickStewart @Hollaturgurl Well done! Thank you so much for all you do!
8,2020-10-06 02:05:00,1313299187342233600,"Casting your vote for someone who only perpetuates the same negativity and corruption that you've experienced and suffered under for years and expecting them to change for the better is wasting your vote.

Cast your vote for real change.
#election #debate2020"
9,2020-10-06 01:01:15,1313283142913077250,@calwestcoast @BatJorgensen Twas but a scratch.
10,2020-10-06 00:55:00,1313281569868648449,"A belated birthday shout out to the bat that bit me, @BatJorgensen! I'm so sorry I missed it yesterday.

#CatRhymesWithBat https://t.co/Gclr7W6EA9"
11,2020-10-05 23:42:01,1313263203640582144,"You were born with natural rights and government can take them away from you only through the use of force.

False patriots profess a love of “country” when they actually mean ""government"".

Libertarians want to take over the world and leave you alone.
#election"
12,2020-10-05 22:08:05,1313239565528895494,"If you're on Facebook we're broadcasting live from Philadelphia!

https://t.co/bfIQbB6YNc"
13,2020-10-05 21:41:00,1313232749508071429,"Government is the cancer that tells you it can cure you if you just make it bigger.

#election #debate2020 #debatemayhem"
14,2020-10-05 20:23:09,1313213154885873665,"RT @polls_unbiased: @Jorgensen4POTUS Do you support Jo Jorgensen?

Follow me 📈 @polls_unbiased 🏆
Please 💭 retweet and ♥️ like

#poll #USA #…"
15,2020-10-05 20:19:42,1313212289726775298,"Fun interview with the guys at @HardFactorNews. 

""Does Libertarianism work only in theory?"" they asked.

My answer: ""I would suggest the Democrat and Republican options don't even work in person right now, let alone theory.""

#election #Debate2020 #DebateMayhem https://t.co/YhtLjsptmk"
16,2020-10-05 19:00:23,1313192327985459204,"When we look to government to solve our problems we are suggesting that it can do better at telling us how to live than we can for ourselves. 
But everything that government touches does more harm than good. It's time to grow our communities, and live our lives."
17,2020-10-05 19:00:21,1313192319601041408,"RT @HannahCox7: Look who I found up here!

Swung by a Peter Schiff hosted fundraiser for @Jorgensen4POTUS in Connecticut https://t.co/8fw2I…"
18,2020-10-05 17:50:05,1313174637333880833,"It is time to start ignoring the political “solutions” that have actually been the cause of our problems. Those solutions have been ignoring you for years.
It's time to #VoteLibertarian and #MakeDCLess.

#Election #Debates2020"
