,timestampe,tweet_id,tweet_text
0,2020-10-06 14:15:37,1313483052627169283,Who’s ready for another Mayoral Debate? #Vote2020 #Baltimore #Debate #ResetReformReimagine
1,2020-10-06 14:13:06,1313482417265672192,Did you catch Sunday’s paper? 👀#RayLewis #Baltimore #ResetReformReimagine #Vote2020 https://t.co/PbaWTbgqb6
2,2020-10-06 13:09:22,1313466380415631360,"Join me this Saturday at 10:00am for Hot Chocolate in the Alley! I’d love to get to know you and hear your thoughts on ways to improve your city! 
#ResetReformReimagine #Vote2020 #MeetAndGreet https://t.co/dypAOye7Lr"
3,2020-10-05 21:00:24,1313222529859936256,"Join us for VOTEtober Fest as we mix the importance of voting, politics, art, music, and an open mic night into one event. Get your (free) tickets TODAY at https://t.co/ULwOlAwmtX Space is limited! #VOTEtober #Vote2020 #ResetReformReimagine https://t.co/RPGutrCLQ1"
4,2020-10-05 20:26:34,1313214018379751424,An example of gov &amp; the people working TOGETHER to co-create solutions that work for all. Collaboration is the key to ANY Meaningful and Sustainable changes in our community. Period. #Baltimoreschools #baltimorevoters #baltimorecity #forthechildren #charmcity #mybmore https://t.co/xiGKFJfts5
5,2020-10-05 20:05:01,1313208591369867266,Thank you so much to all of our amazing teacher who have pushed through these tough times! #WorldTeachersDay #Baltimore https://t.co/suy0zTWuAj
6,2020-10-05 20:04:42,1313208511871021057,Farmers to Families! This is how we support each Baltimore! #onebaltimore #bettercityforall #healthiswealth #freshproduce #weeklyfood #healthybaltimore #baltimoremeals https://t.co/yDZjFpdMVp
7,2020-10-05 20:03:04,1313208102855028737,RT @bmorechildren: MyBmore: Grab your face masks and get your produce boxes every week this fall! Details: https://t.co/EqYnqHZhtx https://…
8,2020-10-05 20:01:57,1313207822558146560,"RT @TeachForAmerica: A happy, happy #WorldTeachersDay 🌎 to our favorite people: educators. Going above and beyond has always been in the jo…"
9,2020-10-05 19:00:09,1313192267843334148,"Check out the Sun's Voter Guide that was published today! It's a concise breakdown for YOU to see my stances and my plans for Baltimore! 
#ResetReformReimagine #Vote2020 #Baltimore
https://t.co/vaMw992vZy https://t.co/VADIqTv7w4"
10,2020-10-04 21:39:22,1312869950353289216,"Unfolding now is the physical manifestation of why TRUST and #TRANSPARENCY in political leadership is so crucial; both in times of peace and in times of turmoil. As mayor of #Baltimore, transparency in leadership is one of key values that I will bring to City Hall. #mybmore"
11,2020-10-04 21:34:55,1312868830281166851,"I am praying for a full recovery for @POTUS and @FLOTUS, as well as for every American currently suffering from or impacted by this pandemic. Everything that is unfolding is a reminder that COVID does not see party, color, or class and it needs to be taken seriously."
12,2020-10-04 19:42:07,1312840442283687936,What are the policies you’dlike to hear about in a debate between @CouncilPresBMS &amp; myself? Baltimore Sun says you should be able to make a fair choice but I don’t see media pushing to make it happen. Normally a debate occurs so people can make informed choices... #whereisbrandon
13,2020-10-04 19:38:45,1312839593818050563,Like @Baltsun said Before; we’re automatically defined by parties when we are just people trying to do the right thing. People like me and @Franca are running to create a better Baltimore. Stop looking at parties and look people and our policies!
14,2020-10-04 14:25:09,1312760675207393280,"Join us for VOTEtober Fest as we mix the importance of voting, politics, art, music, and an open mic night into one event. Get your (free) tickets TODAY at https://t.co/ULwOlAwmtX Space is limited! #VOTEtober #Vote2020 #ResetReformReimagine https://t.co/6LB74UcnkQ"
15,2020-10-03 16:02:38,1312422818014023681,Join the fun and volunteer to sign-wave and help out on Sundays with #TeamWallace at the Baltimore Farmer’s Market! Sign up today at https://t.co/5oOPdVKmdn #ResetReformReimagine #Volunteer #FarmerMarket https://t.co/0vz4cL81XD
16,2020-10-02 17:57:46,1312089404954021889,"32 days until Election Day! For all of you voting by mail, please note your nearest ballot drop off location and remember, they are open 24/7! #mybmore #baltimorecity #baltimorevoters #charmcity #vote2020 #VOTE #YourVoteMatters https://t.co/jdbsbwNH4O"
17,2020-10-02 13:12:40,1312017656317390848,"RT @ShannaW77: Have you seen Ray Lewis' endorsement for Bob Wallace (the future mayor of Baltimore City) yet? Baltimore's champion, Ray Lew…"
18,2020-10-01 00:07:51,1311457763768373248,"RT @BaltimoreBrew: Campaigning in NE #Baltimore, @RobertLWallace talked to the @BaltimoreBrew's @raniound about his long-longshot bid for m…"
19,2020-09-30 15:01:32,1311320278354538496,"Join me TODAY at Cypriana at 6pm for an evening of good food and drink! Come get to know me and my plan for Baltimore! Hope to see you there! 

#ResetReformReimagine #Vote2020 https://t.co/V8AcxxqF2U"
20,2020-09-30 14:30:43,1311312525322002433,Like the #TeamWallace apparel? These shirts were made by BMore’s very own @MIBclothing https://t.co/1C2XZDzb2y
21,2020-09-30 13:01:34,1311290090522542083,"Join me TODAY for an evening of food &amp; drinks at Cypriana in Roland Park at 6:00pm!
*$25 Donation Requested
How to make your donation:
1. Through Eventbrite (https://t.co/adtcWGTxbU)
2. The Campaign Site (https://t.co/PQAbxTLzMn)
3. Cash at the door
#Wallace2020 #Baltimore https://t.co/qmUhV2VEs9"
22,2020-09-29 17:59:56,1311002788667817986,"My youngest, @tayloriwallace started her first company in the startup ecosystem of #newark &amp; under the tutelage of @aisha_glover &amp; still raves about the city's emphasis on supporting minority owned businesses!  This can be us #Baltimore! #SupportBlackBusiness #MBE https://t.co/zDcVmStMRY"
23,2020-09-29 17:00:22,1310987796493070336,ICYMI: Bob Wallace: A New Head Coach For Baltimore #baltimorecity #vote2020 #2020election #charmcity #raylewis #yourvotematters https://t.co/Jk3gJz86qQ via @YouTube
24,2020-09-29 14:29:57,1310949945055342599,"Every dollar counts! If you believe in my vision for a better #Baltimore donate just a dollar TODAY! 
Visit https://t.co/PQAbxTLzMn to donate now! 
#EveryPennyCounts #Vote2020 #Donate #Wallace2020 https://t.co/3Oa5gv9wbQ"
25,2020-09-29 13:01:28,1310927676564267010,"VOLUNTEERS NEEDED! I’d love for YOU to help &amp; volunteer with the Wallace team! We need help with Walk With Wallace, sign-waving, phone banking, and more! Go to my campaign website to sign up! https://t.co/On1ODeFzpg
#Baltimore #Vote2020 #ResetReformReimagine https://t.co/jNYheIpxAL"
26,2020-09-29 01:04:15,1310747181532446721,DAY GO BABY!!! 93 yards!! @Dev_Duv5  #RavensNation #mybaltimore #Ravens
27,2020-09-28 19:57:16,1310669926005452810,"Update: I’ve changed tonight’s location to Next Phaze Cafe (112 E Lexington St.) at 7pm tonight! LET’S GO RAVENS!!! 
#MondayNightFootball #Ravens #Baltimore https://t.co/oGrYYCInLi"
28,2020-09-28 16:30:48,1310617969618284544,"I’m so thankful that I got to speak with these amazing young men this past Saturday at the Black Men of Baltimore event!
#BlackMen #Baltimore
#ResetReformReimagine https://t.co/b1FOSHxNu8"
29,2020-09-28 13:01:20,1310565256213790727,"Join me WEDNESDAY for an evening of food &amp; drinks at Cypriana at 6:00pm!
*$25 Donation Requested
How to make your donation:
1. Through Eventbrite (https://t.co/adtcWGTxbU)
2. The Campaign Site (https://t.co/PQAbxTLzMn)
3. Cash at the door
#Wallace2020 #Baltimore https://t.co/CDfQWDwWpe"
30,2020-09-28 13:01:04,1310565189541154817,"Join me TODAY for football and wings at La Cuchara at 7pm! LET’S GO RAVENS!!!
#Baltimore #Ravens #MondayNightFootball https://t.co/gprLqYTQWz"
31,2020-09-27 16:01:02,1310248090499198978,"Our sign wavers know how to get down! Come join the fun and volunteer TODAY! Visit https://t.co/Z8wxfeih51 to sign up &amp; check my Facebook page (https://t.co/2YepXfjDWl) for future volunteer opportunities!
#ResetReformReimagine #Vote2020 #Wallace2020 https://t.co/GRT6VArwrj"
32,2020-09-27 15:16:53,1310236980027027456,"RT @FOXBaltimore: City leaders are responding to Baltimore reportedly being called a “hellhole dumpster fire”.

Those words coming from a r…"
33,2020-09-27 13:14:53,1310206277767888897,"Join me this MONDAY for football and wings at La Cuchara at 7pm! LET’S GO RAVENS!!!
#Baltimore #Ravens #MondayNightFootball https://t.co/Zmw88UEfQu"
34,2020-09-27 13:05:27,1310203901312983046,"A special thank you to everyone who came out to the Black Men of Baltimore event yesterday! 

#ResetReformReimagine #BlackMen #Baltimore https://t.co/zGBs7bZSCM"
35,2020-09-25 17:34:13,1309546763519488001,“#DowntownBaltimore is a complete hellhole dumpster fire of violence and danger. Nobody in their right mind would operate a business there.” THIS is not an ecosystem where we can attract new business &amp; it’s more important now than ever! #baltimorebusiness https://t.co/42SqokoDzC
36,2020-09-25 17:30:13,1309545756202852352,Something in the pipeline we put together with @raylewis and I’m really excited with how it turned out. Stay tuned... #charmcity #baltimorecity #baltimorevoters #peopleoverparty #PeopleOverPolitics #mybaltimore #vote2020 #raylewis https://t.co/MJgnbfjpVH
37,2020-09-25 17:26:46,1309544887675744256,"As I always stress, I don’t want the people of #Baltimore to FOLLOW me, I want them to come WITH me. Cleaning up our streets is my responsibility as mayor, but it takes a commitment from all city residents! It’s OUR city! Let’s take some pride! #baltimoreunited #baltimorevoters https://t.co/ij1uLIq2hw"
38,2020-09-25 00:46:43,1309293217519722496,Today’s the day folks! Are you registered to vote? Registered in your correct CITY? DM me or my team if you’re still having issues getting registered! #VoteLikeYourLifeDependsOnIt #vote2020 #maryland #baltimorecity #baltimorevoters #mycharmcity https://t.co/OLf5XMWxUA
39,2020-09-24 15:24:45,1309151797102157829,"RT @wjz: According to a recent report, the water quality of Baltimore's Inner Harbor is getting better, but it may not be ready for swimmin…"
40,2020-09-23 23:51:15,1308916873505972224,"RT @FOXBaltimore: ""There is a strong need for police reform in America as we consistently witness Black people, disproportionately shot and…"
41,2020-09-23 17:27:29,1308820293939539969,New TV Ad 'BE RIGHT BACK'  #baltimorecity #elections2020 #crimereduction #betterfuture #baltimoremd #changeiscoming #baltimorefirst #timeforchange #strongertogether #baltimore #election2020 #vote2020 https://t.co/UeZDxFVkgR
42,2020-09-22 13:04:55,1308391828664840192,RT @wjz: ** IT ONLY TAKES TWO SECONDS TO SHARE ** Police in Havre de Grace are asking for the public's help finding a missing vulnerable wo…
43,2020-09-22 13:01:23,1308390941062049794,I always have an amazing time with my team! I’m so blessed to have them and their wonderful support! I’d love to have you join #TeamWallace Sign up to volunteer on my website. The link is in my bio. #ResetReformReimagine #Wallace2020 #Vote2020 https://t.co/gp8tPufa4t
44,2020-09-22 00:36:28,1308203476892225537,"Join us TOMORROW for an evening of food &amp; drinks with Mayoral Candidate Bob Wallace at Mother’s Grille!
How to make your donation:
1. Through Eventbrite ( https://t.co/NVwciliZFg)
2. The Campaign Site (https://t.co/PQAbxTLzMn)
3. Cash at the door
#ResetReformReimagine
 #Vote2020 https://t.co/oyIo3PdDsa"
