,timestampe,tweet_id,tweet_text
0,2020-10-05 20:15:38,1313211265490325506,"An additional $20 billion is available for medical providers to help fight COVID-19 &amp; protect our communities. Maine hospitals, rural health clinics, assisted living facilities, mental health &amp; addiction services, &amp; others can begin applying today at https://t.co/7SbDUbSnj2"
1,2020-10-05 18:52:09,1313190257668620289,"If you or a loved one would like to learn more, please call the VA’s Caregiver Support Line at 855-260-3274 or visit the VA Caregiver Program website at https://t.co/enfEmF6hUI"
2,2020-10-05 18:52:09,1313190257022689286,"The VA Caregiver Support Program has been a lifeline to caregivers of post-9/11 veterans. I co-authored the law extending eligibility to caregivers of veterans of all eras, &amp; now the first phase of that expansion—veterans injured in the line of duty before May 7, 1975—is open."
3,2020-10-05 14:59:30,1313131706329772032,"Keeping people affordably &amp; stably housed amid COVID-19 while not bankrupting small property owners is both a moral imperative &amp; a public health necessity. The Administration must prioritize coupling the eviction moratorium with rental assistance.

https://t.co/rUq034hSsP"
4,2020-10-04 21:45:49,1312871572907139072,"It was an honor to offer a few words at Maine’s annual Fallen Firefighters Memorial Service, which was held virtually this year. Today is also the start of National Fire Prevention Week, which reminds us to keep our communities safe &amp; express gratitude to our brave firefighters. https://t.co/3Nb9uTdBNG"
5,2020-10-04 12:37:35,1312733606813544448,"I have tested negative for COVID. Although I had almost no contact with my three colleagues who have tested positive, I thought it prudent to get tested.  My thoughts are with the President, FLOTUS, my colleagues &amp; all who are infected."
6,2020-10-03 16:53:39,1312435657650827264,I attended the dedication ceremony for Anniversary Park &amp; the St. Louis Bell Tower in Auburn. The Opportunity Zones program created through the 2017 tax reform law will help boost the private investment that will be critical to the city's redevelopment plans. https://t.co/eNWtZtZOFK
7,2020-10-02 19:59:01,1312119919840960512,With assistance from federal programs that I've championed—including BUILD &amp; PPP—Waterville’s revitalization has been a catalyst for job creation. I'll continue to fight for programs that support Maine’s small businesses &amp; that assist communities as we battle COVID-19.
8,2020-10-02 19:59:00,1312119915436933120,"I hosted my friend @SenatorTimScott in Maine to show him Waterville's exciting redevelopment projects. As the author of the Opportunity Zone provision in the 2017 tax reform law, Sen. Scott has been a great partner in supporting our small businesses &amp; underserved communities. https://t.co/1aCQV5Szek"
9,2020-10-02 17:15:39,1312078807617146881,"York Rotary’s response to the pandemic is a great example of how Rotarians give back. Their volunteer efforts have included meal delivery service, which has been vital to seniors &amp; families. I attended their meeting to provide an update on our work to combat COVID-19. https://t.co/Z9Muyb6aDH"
10,2020-10-01 18:22:37,1311733270489554944,"$800,000 has been awarded to support mental health &amp; substance use programs in communities across Maine. I’ll continue to fight to help ensure Mainers have access to the resources they need to achieve recovery &amp; healing.

https://t.co/w4koy6kwWm"
11,2020-09-30 20:40:27,1311405569249546240,"As the founder &amp; co-chair of the Diabetes Caucus, I will continue to champion the Special Diabetes Program &amp; support advancements in the prevention, treatment, &amp; eventual cure of diabetes."
12,2020-09-30 20:40:26,1311405567940886531,I spoke w/ @JDRF advocates Caroline &amp; Aidan Sweeney of Gray &amp; Shelley &amp; Isaac Blake of New Gloucester. Shelley helped Aidan manage his diabetes in school &amp; is now the @JDRFAdvocacy Chair for Maine. I first met Aidan—who is now a freshman—when he was four &amp; testified at a hearing. https://t.co/GP7q5gl2a8
13,2020-09-30 15:41:49,1311330418755604481,"Exciting development! As required by the Tick Act law I authored, CDC has begun implementing a national strategy to combat tick-borne illnesses such as Lyme disease. This framework will help slow the spread of these diseases and protect Mainers’ health.

https://t.co/E6OtIkx5zf"
14,2020-09-29 20:57:44,1311047533259558915,"Frequent moves are one of the many sacrifices military families make, and this can negatively affect their retirement security. I spoke with the head of @USGAO about my bill to help accelerate military spouses’ eligibility to participate in employers’ retirement plans. https://t.co/MLeP7n7pZp"
