,timestampe,tweet_id,tweet_text
0,2020-10-06 13:01:04,1313464290280534017,"There’s no better person to convey what’s at stake in this election than my friend, @MichelleObama. Tune in to hear her closing argument. https://t.co/wc7mywLUHy"
1,2020-10-06 03:24:50,1313319274677768193,"I couldn’t let #WorldTeachersDay go by without celebrating the best teacher I know. Jilly, the way you’ve worked tirelessly and passionately for your students year after year continues to inspire me. https://t.co/rvCJHZLFvm"
2,2020-10-06 02:27:00,1313304721092997125,Wear a mask. https://t.co/TSuLuzAXEB
3,2020-10-06 01:22:00,1313288363361931265,"Folks, I just wrapped up my NBC Town Hall where I laid out my plans to build this country back better than before. If you liked what you heard, please chip in to keep tonight's momentum going: https://t.co/2QUVJ3rvkU"
4,2020-10-06 01:17:00,1313287105213165569,The future is yours. I'm counting on you. https://t.co/4vpSkat0ZH
5,2020-10-06 01:15:00,1313286601796194305,I've taken on the Castros and Putins of the world. I let them know: it stops here. It stops with me. It stops with me as president. https://t.co/p2p1n4ALRY
6,2020-10-06 01:02:00,1313283330486476801,Roe v. Wade must remain the law of the land. https://t.co/1Gq6Ncc2IK
7,2020-10-06 00:51:00,1313280562086379520,Don't tell me things can't change. https://t.co/S1L2zcKVFr
8,2020-10-06 00:47:00,1313279555365408769,"As president, I'll do what I've always done in the past: bring people together.

Peaceful protesters, police officers, unions, and civil rights groups — we'll all sit down at the White House. https://t.co/qk4Nh65UIC"
9,2020-10-06 00:34:00,1313276284093382658,"When I decided to run, I had three objectives:

1. Restore the soul of this country.
2. Rebuild the middle class.
3. Reunite the country.

It's the only way we can move forward. https://t.co/Wk3uP0Qcqm"
10,2020-10-06 00:31:00,1313275529064316928,"More than 200,000 Americans have died. 50,000 Americans are getting the virus every day. 1,000 a day are dying. This is a national emergency.

The President should take responsibility. https://t.co/RpEZCjjUhq"
11,2020-10-06 00:24:00,1313273767301316610,Listen to the scientists.
12,2020-10-06 00:22:00,1313273264010137600,I would hope that the President having gone through what he went through will communicate the right lesson to the American people: Masks matter. They save lives. https://t.co/Hc8lovKEwB
13,2020-10-06 00:17:00,1313272005701980160,I view wearing a mask as a patriotic duty — to protect those around you. #BidenTownHall
14,2020-10-06 00:09:00,1313269992360681472,Masks matter. They save lives.
15,2020-10-05 23:50:00,1313265210921230336,"I’m about to take the stage for tonight’s Town Hall in Miami, Florida. Tune in to @NBC now to watch live. https://t.co/iFo4jTtF2d"
16,2020-10-05 23:05:00,1313253886619246593,"Folks, starting today, I'm trying something new.

I'll be writing notes to you about my plans to build our country back better. And I'll be sharing personal stories and behind-the-scenes moments from the campaign trail, too.

I hope you'll follow along. https://t.co/OIjQQRO2I2"
17,2020-10-05 22:00:01,1313237533627645954,These good boys are ready to build bark better. https://t.co/OzaEkehJUR
18,2020-10-05 21:26:00,1313228972126216193,"Now that President Trump is busy tweeting campaign messages, I would ask him to do this: Listen to the scientists. Support masks. Support mask mandates nationwide."
19,2020-10-05 21:12:00,1313225449036681216,"Voting early in person starts today statewide in California, Iowa, Maine, Montana, Nebraska, and South Carolina.

This is our moment — and there is too much at stake to sit this election out.

Head to https://t.co/eoxT07uII9 to find all the info you need to make your voice heard."
20,2020-10-05 20:32:00,1313215382803681280,"Folks, if you live in:

Arizona
Arkansas
Florida
Georgia
Hawaii
Indiana
Kentucky
Mississippi
Ohio
South Carolina
Tennessee
Texas

Today is your last day to register to vote. Head to https://t.co/eoxT07d7QB to get registered before it's too late. https://t.co/Flq9HFKnc0"
21,2020-10-05 20:02:23,1313207928514437120,I’m in Florida to discuss my plans to build back our economy better for the Hispanic community and working families. Tune in. https://t.co/bKRYmvaH8O
22,2020-10-05 19:59:29,1313207200005984261,"RT @TeamJoe: We are 29 days away from Election Day, &amp; it’s the last day to register to vote in these states!

✅Arkansas
✅Arizona
✅Florida
✅…"
23,2020-10-05 16:54:00,1313160521126903815,https://t.co/eoxT07d7QB https://t.co/J6mYQG0oF2
24,2020-10-05 16:26:02,1313153484036939778,RT @TheDemocrats: You don’t have to wait until November 3 to cast your ballot. Be an #OctoberVoter. Make an early voting plan. https://t.co…
25,2020-10-05 16:25:35,1313153371315097606,"RT @HillaryClinton: Today is the deadline to register to vote in several states, including Arizona, Arkansas, Florida, Georgia, Ohio, and T…"
26,2020-10-05 14:00:01,1313116739299762176,"Imagine a future where:

- Health care is a right
- We end the gun violence epidemic
- We combat climate change
- Our government works for everyone

It’s a future that we can build — together."
27,2020-10-05 00:10:00,1312907856161705985,"The economy.
Climate change.
Health care.
Civil rights.
Racial justice.
The U.S. Supreme Court.
Our democracy.

They’re all on the line. Vote. https://t.co/eoxT07d7QB"
28,2020-10-04 22:32:00,1312883193939279872,It’s time we build an economy where everyone gets a fair return for their work and an equal chance to get ahead. An economy more vibrant and powerful because everyone is in on the deal. https://t.co/Tjgyn1gR2V
29,2020-10-04 21:01:00,1312860293085753345,"Today marks 30 days until Election Day. 30 days until we begin to restore the soul of the nation.

Chip in to power our campaign through this final stretch: https://t.co/v5RXu2WPlZ"
30,2020-10-04 19:05:00,1312831100914405379,"Before we're Democrats or Republicans or independents — we're Americans.

We can't forget that."
31,2020-10-04 17:20:00,1312804676547620864,"There are only 30 days until Election Day — but in many states, you don’t have to wait until November 3rd to make your voice heard. Head to https://t.co/eoxT07d7QB and make a plan to vote early today."
32,2020-10-04 15:30:00,1312776994799661057,30 days.
33,2020-10-04 14:05:00,1312755603215773697,"Receiving the Medal of Freedom from my friend @BarackObama was a great, great honor. I'm proud to have dedicated my life to serving this country — but I'm not done yet. https://t.co/NKEmYGOl6s"
34,2020-10-04 00:15:00,1312546726528638977,"At this moment, we’re facing unprecedented crises. But I know the American people have what it takes to overcome them.

There’s not a single thing beyond our capacity."
35,2020-10-03 23:23:00,1312533640392314882,"Folks, with just one month left until Election Day, voting is underway and there’s no time to wait to make your voice heard. Head to https://t.co/eoxT07uII9 to find everything you need to make your voting plan."
36,2020-10-03 22:07:00,1312514514492026881,"There’s just one month left before the most important election of our lifetime — one that will shape the future of our nation for decades to come.

Don’t wake up on November 4th wishing you had done more. Get involved today: https://t.co/gnaFCACYrW"
